method,attack,class_name,mean_acc_pct,sd_acc_pct,n_seeds
DDN-AT,cw_l2,airplane,76.08,1.478850905263957,5
DDN-AT,cw_l2,automobile,85.44,1.5372052563011873,5
DDN-AT,cw_l2,bird,57.42,1.6115210206509885,5
DDN-AT,cw_l2,cat,42.519999999999996,2.950762613291689,5
DDN-AT,cw_l2,deer,60.94,1.0430723848324235,5
DDN-AT,cw_l2,dog,54.760000000000005,3.1349641146271496,5
DDN-AT,cw_l2,frog,76.36,1.671227094083865,5
DDN-AT,cw_l2,horse,78.72,0.5019960159204525,5
DDN-AT,cw_l2,ship,84.53999999999999,1.2660963628413093,5
DDN-AT,cw_l2,truck,82.28,1.3103434664239693,5
DDN-AT,ddn_l2,airplane,72.7,1.8560711193270623,5
DDN-AT,ddn_l2,automobile,82.5,1.721917535772254,5
DDN-AT,ddn_l2,bird,52.98,1.1606032913963336,5
DDN-AT,ddn_l2,cat,38.0,2.63343881645274,5
DDN-AT,ddn_l2,deer,54.56,1.1480418110852928,5
DDN-AT,ddn_l2,dog,51.239999999999995,3.384228124698453,5
DDN-AT,ddn_l2,frog,72.4,1.7131841699011774,5
DDN-AT,ddn_l2,horse,75.82000000000001,0.6016643582596535,5
DDN-AT,ddn_l2,ship,81.2,1.254990039801106,5
DDN-AT,ddn_l2,truck,79.24000000000001,0.8848728722251578,5
DDN-AT,deepfool_l2,airplane,74.5,1.5149257407543144,5
DDN-AT,deepfool_l2,automobile,83.38,1.7796066981218106,5
DDN-AT,deepfool_l2,bird,55.839999999999996,1.1970797801316313,5
DDN-AT,deepfool_l2,cat,41.86,2.4562166028263883,5
DDN-AT,deepfool_l2,deer,58.160000000000004,1.4943225890014458,5
DDN-AT,deepfool_l2,dog,54.36,3.579525108167279,5
DDN-AT,deepfool_l2,frog,74.12,1.495660389259545,5
DDN-AT,deepfool_l2,horse,77.26,0.5594640292279708,5
DDN-AT,deepfool_l2,ship,82.91999999999999,1.23571841452655,5
DDN-AT,deepfool_l2,truck,80.66,1.0139033484509201,5
DDN-AT,fgsm_rs,airplane,72.08,1.863330351816347,5
DDN-AT,fgsm_rs,automobile,81.2,1.6385969608173887,5
DDN-AT,fgsm_rs,bird,50.78,1.114450537260404,5
DDN-AT,fgsm_rs,cat,36.64,2.6623298067669974,5
DDN-AT,fgsm_rs,deer,54.02,1.233693641063292,5
DDN-AT,fgsm_rs,dog,49.68,3.259907974161235,5
DDN-AT,fgsm_rs,frog,71.41999999999999,1.5466091943345026,5
DDN-AT,fgsm_rs,horse,73.36,0.6426507605223846,5
DDN-AT,fgsm_rs,ship,80.2,1.2328828005937906,5
DDN-AT,fgsm_rs,truck,77.74000000000001,1.1844830095868848,5
DDN-AT,mifgsm,airplane,40.86,2.3712865706194197,5
DDN-AT,mifgsm,automobile,52.36,1.9320973060381823,5
DDN-AT,mifgsm,bird,19.84,0.2701851217221268,5
DDN-AT,mifgsm,cat,9.2,1.2688577540449522,5
DDN-AT,mifgsm,deer,13.12,0.9257429448826495,5
DDN-AT,mifgsm,dog,19.14,2.246775467197379,5
DDN-AT,mifgsm,frog,26.02,1.0709808588392242,5
DDN-AT,mifgsm,horse,40.7,1.1335784048754636,5
DDN-AT,mifgsm,ship,41.18,2.291724241700997,5
DDN-AT,mifgsm,truck,44.12,1.1144505372604052,5
DDN-AT,pgd20_ce,airplane,35.72,2.298260211551341,5
DDN-AT,pgd20_ce,automobile,47.18,2.485357117196644,5
DDN-AT,pgd20_ce,bird,15.939999999999998,0.8820430828479978,5
DDN-AT,pgd20_ce,cat,6.720000000000001,1.0521406750050109,5
DDN-AT,pgd20_ce,deer,9.84,0.7127411872482182,5
DDN-AT,pgd20_ce,dog,15.5,2.1529050141610986,5
DDN-AT,pgd20_ce,frog,20.7,1.2649110640673518,5
DDN-AT,pgd20_ce,horse,35.54,1.0014988766843438,5
DDN-AT,pgd20_ce,ship,34.92,2.546958971008368,5
DDN-AT,pgd20_ce,truck,38.6,0.8544003745317538,5
DDN-AT,pgd_l2,airplane,75.56,1.8242806801586195,5
DDN-AT,pgd_l2,automobile,84.38,1.4788509052639525,5
DDN-AT,pgd_l2,bird,56.68000000000001,1.5352524222420216,5
DDN-AT,pgd_l2,cat,43.44,2.989648808806815,5
DDN-AT,pgd_l2,deer,60.5,1.3838352503098048,5
DDN-AT,pgd_l2,dog,54.779999999999994,2.9329166370696593,5
DDN-AT,pgd_l2,frog,76.34,1.8447222013083695,5
DDN-AT,pgd_l2,horse,78.06,0.6268971207462962,5
DDN-AT,pgd_l2,ship,83.85999999999999,1.1013627921806677,5
DDN-AT,pgd_l2,truck,81.5,0.8336666000266432,5
DDN-AT,tpgd,airplane,66.8,2.387467277262661,5
DDN-AT,tpgd,automobile,73.5,1.988718180135142,5
DDN-AT,tpgd,bird,52.54,0.844393273303382,5
DDN-AT,tpgd,cat,37.339999999999996,2.0317480158720476,5
