Baseline,K,Bottom-K lift (pp),Baseline bottom-K acc (%),AttackDRO++ on same cells (%)
Multi-AT,5,0.3119999999999993,22.368000000000002,22.68
Multi-AT,10,0.28199999999999936,28.844,29.125999999999998
Multi-AT,20,0.41899999999999976,37.391999999999996,37.81099999999999
PGD-AT,5,0.5639999999999992,25.812,26.375999999999998
PGD-AT,10,0.7259999999999995,29.022,29.747999999999998
PGD-AT,20,2.882,35.502,38.384
DDN-AT,5,13.008,10.876,23.884
DDN-AT,10,15.709999999999999,15.602,31.311999999999994
DDN-AT,20,15.473000000000003,26.776,42.248999999999995
