method,architecture,mean8_pct,worst8_pct,autoattack_linf_pct,pgd_l2_pct,fgsm_rs_pct,tpgd_pct,deepfool_l2_pct,ddn_l2_pct,cw_l2_pct,mifgsm_pct,pgd20_ce_pct,notes
AttackDRO++ (Ours),WRN-28-10,64.676250,47.720000,43.160000,71.930000,71.510000,69.810000,69.690000,69.110000,67.600000,50.040000,47.720000,single-run supplementary architecture check
Multi-AT,WRN-28-10,64.865000,47.990000,44.920000,72.080000,72.010000,69.670000,69.960000,69.200000,67.760000,50.250000,47.990000,single-run supplementary architecture check
